Variable,Importance,ticker
semiconductor_shipments_mom,0.2814441996142705,nvda
rsi_14,0.20695564150446444,nvda
technology_capital_spending_mom,0.16266551533408347,nvda
industrial_production_mom,0.0611739129290072,nvda
interest_rate_mom,0.0391024715063395,nvda
daily_sentiment_score,0.03417216087109409,nvda
unemployment_rate_mom,0.005856929654328269,nvda
personal_consumption_mom,0.004165397411270533,nvda
cpi_mom,-0.0025402087230759207,nvda
gdp_growth_mom,-0.010503422021429287,nvda
ma_10,-0.04454644669749541,nvda
ema_10,-0.08718408377535525,nvda
ma_30,-0.12554311757230607,nvda
volatility_10,-0.13307293622892757,nvda
crude_oil_prices_mom,-0.20181557243813586,nvda
